r,DD,GAFF,GAFF2
13.9125,0.918724,0.875074,0.883849
13.9375,0.932745,0.871937,0.898692
13.9625,0.882424,0.891594,0.91978
13.9875,0.902681,0.910007,0.8852
14.0125,0.928619,0.922812,0.915455
14.0375,0.916235,0.898811,0.864849
14.0625,0.906105,0.900326,0.869148
14.0875,0.929214,0.870429,0.902428
14.1125,0.906522,0.880653,0.890084
14.1375,0.950938,0.92699,0.894962
14.1625,0.924393,0.910152,0.879449
14.1875,0.896252,0.87706,0.934293
14.2125,0.922506,0.901632,0.886263
14.2375,0.8995,0.910834,0.919831
14.2625,0.945599,0.911517,0.884718
14.2875,0.933529,0.929029,0.905192
14.3125,0.891844,0.891874,0.949714
14.3375,0.8863,0.900612,0.869104
14.3625,0.876973,0.880814,0.927212
14.3875,0.898127,0.908894,0.893357
14.4125,0.893291,0.941601,0.893769
14.4375,0.93586,0.891959,0.914106
14.4625,0.952471,0.885111,0.918267
14.4875,0.885089,0.921641,0.887318
14.5125,0.92927,0.887524,0.915412
14.5375,0.931833,0.896674,0.902953
14.5625,0.942809,0.910821,0.911199
14.5875,0.934536,0.925539,0.858752
14.6125,0.9176,0.920027,0.919652
14.6375,0.911129,0.871427,0.898823
14.6625,0.925666,0.896108,0.908644
14.6875,0.914888,0.921279,0.913663
14.7125,0.937237,0.913519,0.925041
14.7375,0.913303,0.922952,0.952445
14.7625,0.912839,0.899454,0.910758
14.7875,0.889793,0.896088,0.903014
14.8125,0.945172,0.937784,0.914586
14.8375,0.935814,0.915433,0.880053
14.8625,0.921978,0.901332,0.886994
14.8875,0.932767,0.90574,0.923154
14.9125,0.92031,0.933622,0.935139
14.9375,0.921402,0.921834,0.906857
14.9625,0.894991,0.918436,0.924992
14.9875,0.914946,0.906447,0.915419
15.0125,0.926189,0.865298,0.925956
15.0375,0.923112,0.931151,0.962206
15.0625,0.921943,0.900599,0.902791
15.0875,0.936494,0.877481,0.91197
15.1125,0.894233,0.91566,0.92236
15.1375,0.89378,0.958895,0.916453
15.1625,0.906087,0.900285,0.887435
15.1875,0.952744,0.915332,0.943294
15.2125,0.931062,0.929347,0.911533
15.2375,0.908593,0.911186,0.896301
15.2625,0.923743,0.928802,0.923094
15.2875,0.911845,0.912896,0.939726
15.3125,0.910091,0.912972,0.944432
15.3375,0.909256,0.901474,0.903863
15.3625,0.922066,0.933137,0.923778
15.3875,0.949899,0.928595,0.907849
15.4125,0.938385,0.953624,0.899076
15.4375,0.924238,0.926196,0.956727
15.4625,0.920653,0.939378,0.939002
15.4875,0.957959,0.905594,0.933238
15.5125,0.942384,0.922023,0.928112
15.5375,0.948246,0.923212,0.929053
15.5625,0.936634,0.951889,0.911022
15.5875,0.94718,0.937637,0.932102
15.6125,0.941213,0.924353,0.92882
15.6375,0.935572,0.919057,0.932411
15.6625,0.915377,0.907659,0.940133
15.6875,0.931072,0.910588,0.954318
15.7125,0.959995,0.955848,0.943312
15.7375,0.963304,0.89151,0.943261
15.7625,0.901495,0.936822,0.919148
15.7875,0.926204,0.938742,0.960691
15.8125,0.922133,0.908279,0.938415
15.8375,0.928924,0.941961,0.946207
15.8625,0.961833,0.947249,0.943517
15.8875,0.960226,0.907101,0.923801
15.9125,0.948167,0.914718,0.900461
15.9375,0.955055,0.926512,0.944415
15.9625,0.965266,0.956498,0.917715
15.9875,0.968969,0.913721,0.913136
16.0125,0.911243,0.948579,0.919668
16.0375,0.919533,0.918057,0.921054
16.0625,0.958277,0.953231,0.935988
16.0875,0.973826,0.954144,0.922661
16.1125,0.922018,0.9476,0.943384
16.1375,0.94994,0.954566,0.937665
16.1625,0.92591,0.959292,0.909932
16.1875,0.945173,0.91998,0.946068
16.2125,0.915307,0.920687,0.925681
16.2375,0.966774,0.916768,0.953797
16.2625,0.948651,0.926408,0.92992
16.2875,0.971098,0.933825,0.92377
16.3125,0.93397,0.947652,0.94806
16.3375,0.936744,0.974806,0.933418
16.3625,0.959276,0.895859,0.94772
16.3875,0.923575,0.934198,0.970887
16.4125,0.990366,0.949433,0.932213
16.4375,0.968551,0.935415,0.906448
16.4625,0.972477,0.943146,0.92629
16.4875,0.936625,0.906565,0.9629
16.5125,0.921456,0.934291,0.94662
16.5375,0.947715,0.950323,0.958152
16.5625,0.957117,0.96051,0.92869
16.5875,0.950073,0.945904,0.941258
16.6125,0.978591,0.944357,0.948992
16.6375,0.975135,0.920564,0.949039
16.6625,0.938447,0.949016,0.94383
16.6875,0.951312,0.920456,0.956709
16.7125,0.947443,0.95232,0.941062
16.7375,0.936186,0.95638,0.972858
16.7625,0.9772,0.935942,0.93364
16.7875,0.96769,0.948659,0.958019
16.8125,0.968611,0.947613,0.934026
16.8375,0.942263,0.926612,0.972392
16.8625,0.956081,0.932431,0.912858
16.8875,0.966551,0.935448,0.949774
16.9125,0.949936,0.956972,0.9592
16.9375,0.981806,0.926188,0.97746
16.9625,0.975432,0.931923,0.956087
16.9875,0.958429,0.92273,0.930542
17.0125,0.979102,0.933382,0.989512
17.0375,0.93235,0.944955,0.93011
17.0625,0.956658,0.955472,0.96945
17.0875,0.982535,0.959301,0.945645
17.1125,0.956696,0.936934,0.963793
17.1375,0.96341,0.94859,0.964706
17.1625,0.944813,0.953123,0.952494
17.1875,0.957086,0.978233,0.947257
17.2125,0.951168,0.92753,0.972555
17.2375,0.96551,0.969914,0.978813
17.2625,0.966798,0.957253,0.939289
17.2875,0.967116,0.960957,0.95511
17.3125,0.94236,0.960095,0.973755
17.3375,0.957261,0.956375,0.979921
17.3625,0.99581,0.967878,0.95413
17.3875,0.95058,0.981442,0.942227
17.4125,0.969802,0.98524,0.946736
17.4375,0.971965,0.947322,0.94642
17.4625,0.962614,0.946256,0.980524
17.4875,0.966181,0.971186,0.973908
17.5125,0.954325,0.968883,0.954255
17.5375,0.947418,0.933988,0.970496
17.5625,0.950987,0.959194,0.947411
17.5875,0.951987,0.988652,0.963572
17.6125,0.966126,0.988387,0.957549
17.6375,0.944756,0.961414,0.955773
17.6625,0.949883,0.94492,0.957976
17.6875,0.97076,0.953697,0.944086
17.7125,0.974864,0.966073,0.974647
17.7375,0.97553,0.953563,0.958696
17.7625,0.969837,0.960188,0.96524
17.7875,0.932961,0.964508,0.966445
17.8125,0.965077,0.950065,0.939153
17.8375,0.94708,0.936149,0.964471
17.8625,0.970222,0.964281,0.967485
17.8875,1.00084,0.957783,0.975717
17.9125,0.959907,0.952433,0.947552
17.9375,0.967019,1.00031,0.944686
17.9625,0.934831,0.992419,0.954709
17.9875,0.972709,0.941408,0.991032
18.0125,0.971334,0.956897,0.969187
18.0375,0.955446,0.952925,0.95418
18.0625,0.974079,0.988924,0.955338
18.0875,0.999605,0.96255,0.949803
18.1125,0.938607,0.971029,0.998063
18.1375,0.98279,0.960952,0.960084
18.1625,0.963599,0.968512,0.95678
18.1875,0.974149,0.956541,0.97222
18.2125,0.964572,0.989759,0.99043
18.2375,0.946654,0.972405,0.977197
18.2625,0.977535,0.975543,0.955728
18.2875,0.985349,0.982942,0.952245
18.3125,0.975405,0.959331,0.972252
18.3375,0.971684,0.977589,0.959198
18.3625,0.983683,0.987461,0.960695
18.3875,0.972544,0.992827,0.965199
18.4125,0.990591,0.965839,0.98064
18.4375,0.974434,0.955637,0.968334
18.4625,0.965079,0.95179,0.976191
18.4875,0.980476,0.982116,0.97206
18.5125,0.978665,0.969434,0.963481
18.5375,0.982066,0.988913,0.930552
18.5625,0.981499,0.970662,0.956394
18.5875,0.96954,0.991891,0.950447
18.6125,0.979125,0.952223,0.973776
